Index,Node,index_in_graph,node_id,meaning,category
51,52,,52,C60-C63 Malignant neoplasms of male genital organs,Chapter II Neoplasms
52,53,,53,C64-C68 Malignant neoplasms of urinary tract,Chapter II Neoplasms
53,54,,54,"C69-C72 Malignant neoplasms of eye, brain and other parts of central nervous system",Chapter II Neoplasms
54,55,,55,C73-C75 Malignant neoplasms of thyroid and other endocrine glands,Chapter II Neoplasms
55,56,,56,"C76-C80 Malignant neoplasms of ill-defined, secondary and unspecified sites",Chapter II Neoplasms
56,57,,57,"C81-C96 Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",Chapter II Neoplasms
57,58,,58,C97-C97 Malignant neoplasms of independent (primary) multiple sites,Chapter II Neoplasms
58,59,,59,D00-D09 In situ neoplasms,Chapter II Neoplasms
59,60,,60,D10-D36 Benign neoplasms,Chapter II Neoplasms
60,61,,61,D37-D48 Neoplasms of uncertain or unknown behaviour,Chapter II Neoplasms
61,62,,62,D50-D53 Nutritional anaemias,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
62,63,,63,D55-D59 Haemolytic anaemias,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
63,64,,64,D60-D64 Aplastic and other anaemias,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
64,65,,65,"D65-D69 Coagulation defects, purpura and other haemorrhagic conditions",Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
65,66,,66,D70-D77 Other diseases of blood and blood-forming organs,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
66,67,,67,D80-D89 Certain disorders involving the immune mechanism,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
67,68,,68,E00-E07 Disorders of thyroid gland,"Chapter IV Endocrine, nutritional and metabolic diseases"
68,69,,69,E10-E14 Diabetes mellitus,"Chapter IV Endocrine, nutritional and metabolic diseases"
69,70,,70,E15-E16 Other disorders of glucose regulation and pancreatic internal secretion,"Chapter IV Endocrine, nutritional and metabolic diseases"
70,71,,71,E20-E35 Disorders of other endocrine glands,"Chapter IV Endocrine, nutritional and metabolic diseases"
71,72,,72,E40-E46 Malnutrition,"Chapter IV Endocrine, nutritional and metabolic diseases"
72,73,,73,E50-E64 Other nutritional deficiencies,"Chapter IV Endocrine, nutritional and metabolic diseases"
73,74,,74,E65-E68 Obesity and other hyperalimentation,"Chapter IV Endocrine, nutritional and metabolic diseases"
74,75,,75,E70-E90 Metabolic disorders,"Chapter IV Endocrine, nutritional and metabolic diseases"
75,76,,76,"F00-F09 Organic, including symptomatic, mental disorders",Chapter V Mental and behavioural disorders
76,77,,77,F10-F19 Mental and behavioural disorders due to psychoactive substance use,Chapter V Mental and behavioural disorders
77,78,,78,"F20-F29 Schizophrenia, schizotypal and delusional disorders",Chapter V Mental and behavioural disorders
78,79,,79,F30-F39 Mood [affective] disorders,Chapter V Mental and behavioural disorders
79,80,,80,"F40-F48 Neurotic, stress-related and somatoform disorders",Chapter V Mental and behavioural disorders
80,81,,81,F50-F59 Behavioural syndromes associated with physiological disturbances and physical factors,Chapter V Mental and behavioural disorders
81,82,,82,F60-F69 Disorders of adult personality and behaviour,Chapter V Mental and behavioural disorders
82,83,,83,F70-F79 Mental retardation,Chapter V Mental and behavioural disorders
83,84,,84,F80-F89 Disorders of psychological development,Chapter V Mental and behavioural disorders
84,85,,85,F90-F98 Behavioural and emotional disorders with onset usually occurring in childhood and adolescence,Chapter V Mental and behavioural disorders
85,86,,86,F99-F99 Unspecified mental disorder,Chapter V Mental and behavioural disorders
86,87,,87,G00-G09 Inflammatory diseases of the central nervous system,Chapter VI Diseases of the nervous system
87,88,,88,G10-G14 Systemic atrophies primarily affecting the central nervous system,Chapter VI Diseases of the nervous system
88,89,,89,G20-G26 Extrapyramidal and movement disorders,Chapter VI Diseases of the nervous system
89,90,,90,G30-G32 Other degenerative diseases of the nervous system,Chapter VI Diseases of the nervous system
90,91,,91,G35-G37 Demyelinating diseases of the central nervous system,Chapter VI Diseases of the nervous system
91,92,,92,G40-G47 Episodic and paroxysmal disorders,Chapter VI Diseases of the nervous system
92,93,,93,"G50-G59 Nerve, nerve root and plexus disorders",Chapter VI Diseases of the nervous system
93,94,,94,G60-G64 Polyneuropathies and other disorders of the peripheral nervous system,Chapter VI Diseases of the nervous system
94,95,,95,G70-G73 Diseases of myoneural junction and muscle,Chapter VI Diseases of the nervous system
95,96,,96,G80-G83 Cerebral palsy and other paralytic syndromes,Chapter VI Diseases of the nervous system
96,97,,97,G90-G99 Other disorders of the nervous system,Chapter VI Diseases of the nervous system
97,98,,98,"H00-H06 Disorders of eyelid, lacrimal system and orbit",Chapter VII Diseases of the eye and adnexa
98,99,,99,H10-H13 Disorders of conjunctiva,Chapter VII Diseases of the eye and adnexa
99,100,,100,"H15-H22 Disorders of sclera, cornea, iris and ciliary body",Chapter VII Diseases of the eye and adnexa
100,101,,101,H25-H28 Disorders of lens,Chapter VII Diseases of the eye and adnexa
101,102,,102,H30-H36 Disorders of choroid and retina,Chapter VII Diseases of the eye and adnexa
102,103,,103,H40-H42 Glaucoma,Chapter VII Diseases of the eye and adnexa
103,104,,104,H43-H45 Disorders of vitreous body and globe,Chapter VII Diseases of the eye and adnexa
104,105,,105,H46-H48 Disorders of optic nerve and visual pathways,Chapter VII Diseases of the eye and adnexa
105,106,,106,"H49-H52 Disorders of ocular muscles, binocular movement, accommodation and refraction",Chapter VII Diseases of the eye and adnexa
106,107,,107,H53-H54 Visual disturbances and blindness,Chapter VII Diseases of the eye and adnexa
107,108,,108,H55-H59 Other disorders of eye and adnexa,Chapter VII Diseases of the eye and adnexa
108,109,,109,H60-H62 Diseases of external ear,Chapter VIII Diseases of the ear and mastoid process
109,110,,110,H65-H75 Diseases of middle ear and mastoid,Chapter VIII Diseases of the ear and mastoid process
110,111,,111,H80-H83 Diseases of inner ear,Chapter VIII Diseases of the ear and mastoid process
111,112,,112,H90-H95 Other disorders of ear,Chapter VIII Diseases of the ear and mastoid process
112,113,,113,I00-I02 Acute rheumatic fever,Chapter IX Diseases of the circulatory system
113,114,,114,I05-I09 Chronic rheumatic heart diseases,Chapter IX Diseases of the circulatory system
114,115,,115,I10-I15 Hypertensive diseases,Chapter IX Diseases of the circulatory system
115,116,,116,I20-I25 Ischaemic heart diseases,Chapter IX Diseases of the circulatory system
116,117,,117,I26-I28 Pulmonary heart disease and diseases of pulmonary circulation,Chapter IX Diseases of the circulatory system
117,118,,118,I30-I52 Other forms of heart disease,Chapter IX Diseases of the circulatory system
118,119,,119,I60-I69 Cerebrovascular diseases,Chapter IX Diseases of the circulatory system
119,120,,120,"I70-I79 Diseases of arteries, arterioles and capillaries",Chapter IX Diseases of the circulatory system
120,121,,121,"I80-I89 Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified",Chapter IX Diseases of the circulatory system
121,122,,122,I95-I99 Other and unspecified disorders of the circulatory system,Chapter IX Diseases of the circulatory system
122,123,,123,J00-J06 Acute upper respiratory infections,Chapter X Diseases of the respiratory system
123,124,,124,J09-J18 Influenza and pneumonia,Chapter X Diseases of the respiratory system
124,125,,125,J20-J22 Other acute lower respiratory infections,Chapter X Diseases of the respiratory system
125,126,,126,J30-J39 Other diseases of upper respiratory tract,Chapter X Diseases of the respiratory system
126,127,,127,J40-J47 Chronic lower respiratory diseases,Chapter X Diseases of the respiratory system
127,128,,128,J60-J70 Lung diseases due to external agents,Chapter X Diseases of the respiratory system
128,129,,129,J80-J84 Other respiratory diseases principally affecting the interstitium,Chapter X Diseases of the respiratory system
129,130,,130,J85-J86 Suppurative and necrotic conditions of lower respiratory tract,Chapter X Diseases of the respiratory system
130,131,,131,J90-J94 Other diseases of pleura,Chapter X Diseases of the respiratory system
131,132,,132,J95-J99 Other diseases of the respiratory system,Chapter X Diseases of the respiratory system
132,133,,133,"K00-K14 Diseases of oral cavity, salivary glands and jaws",Chapter XI Diseases of the digestive system
133,134,,134,"K20-K31 Diseases of oesophagus, stomach and duodenum",Chapter XI Diseases of the digestive system
134,135,,135,K35-K38 Diseases of appendix,Chapter XI Diseases of the digestive system
135,136,,136,K40-K46 Hernia,Chapter XI Diseases of the digestive system
136,137,,137,K50-K52 Noninfective enteritis and colitis,Chapter XI Diseases of the digestive system
137,138,,138,K55-K64 Other diseases of intestines,Chapter XI Diseases of the digestive system
138,139,,139,K65-K67 Diseases of peritoneum,Chapter XI Diseases of the digestive system
139,140,,140,K70-K77 Diseases of liver,Chapter XI Diseases of the digestive system
140,141,,141,"K80-K87 Disorders of gallbladder, biliary tract and pancreas",Chapter XI Diseases of the digestive system
141,142,,142,K90-K93 Other diseases of the digestive system,Chapter XI Diseases of the digestive system
142,143,,143,L00-L08 Infections of the skin and subcutaneous tissue,Chapter XII Diseases of the skin and subcutaneous tissue
143,144,,144,L10-L14 Bullous disorders,Chapter XII Diseases of the skin and subcutaneous tissue
144,145,,145,L20-L30 Dermatitis and eczema,Chapter XII Diseases of the skin and subcutaneous tissue
145,146,,146,L40-L45 Papulosquamous disorders,Chapter XII Diseases of the skin and subcutaneous tissue
146,147,,147,L50-L54 Urticaria and erythema,Chapter XII Diseases of the skin and subcutaneous tissue
147,148,,148,L55-L59 Radiation-related disorders of the skin and subcutaneous tissue,Chapter XII Diseases of the skin and subcutaneous tissue
148,149,,149,L60-L75 Disorders of skin appendages,Chapter XII Diseases of the skin and subcutaneous tissue
149,150,,150,L80-L99 Other disorders of the skin and subcutaneous tissue,Chapter XII Diseases of the skin and subcutaneous tissue
150,151,,151,M00-M03 Infectious arthropathies,Chapter XIII Diseases of the musculoskeletal system and connective tissue
151,152,,152,M05-M14 Inflammatory polyarthropathies,Chapter XIII Diseases of the musculoskeletal system and connective tissue
152,153,,153,M15-M19 Arthrosis,Chapter XIII Diseases of the musculoskeletal system and connective tissue
153,154,,154,M20-M25 Other joint disorders,Chapter XIII Diseases of the musculoskeletal system and connective tissue
154,155,,155,M40-M43 Deforming dorsopathies,Chapter XIII Diseases of the musculoskeletal system and connective tissue
155,156,,156,M45-M49 Spondylopathies,Chapter XIII Diseases of the musculoskeletal system and connective tissue
156,157,,157,M50-M54 Other dorsopathies,Chapter XIII Diseases of the musculoskeletal system and connective tissue
157,158,,158,M60-M63 Disorders of muscles,Chapter XIII Diseases of the musculoskeletal system and connective tissue
158,159,,159,M65-M68 Disorders of synovium and tendon,Chapter XIII Diseases of the musculoskeletal system and connective tissue
159,160,,160,M70-M79 Other soft tissue disorders,Chapter XIII Diseases of the musculoskeletal system and connective tissue
160,161,,161,M80-M85 Disorders of bone density and structure,Chapter XIII Diseases of the musculoskeletal system and connective tissue
161,162,,162,M86-M90 Other osteopathies,Chapter XIII Diseases of the musculoskeletal system and connective tissue
162,163,,163,M91-M94 Chondropathies,Chapter XIII Diseases of the musculoskeletal system and connective tissue
163,164,,164,M95-M99 Other disorders of the musculoskeletal system and connective tissue,Chapter XIII Diseases of the musculoskeletal system and connective tissue
164,165,,165,N00-N08 Glomerular diseases,Chapter XIV Diseases of the genitourinary system
165,166,,166,N10-N16 Renal tubulo-interstitial diseases,Chapter XIV Diseases of the genitourinary system
166,167,,167,N17-N19 Renal failure,Chapter XIV Diseases of the genitourinary system
167,168,,168,N20-N23 Urolithiasis,Chapter XIV Diseases of the genitourinary system
168,169,,169,N25-N29 Other disorders of kidney and ureter,Chapter XIV Diseases of the genitourinary system
169,170,,170,N30-N39 Other diseases of urinary system,Chapter XIV Diseases of the genitourinary system
170,171,,171,N40-N51 Diseases of male genital organs,Chapter XIV Diseases of the genitourinary system
171,172,,172,N60-N64 Disorders of breast,Chapter XIV Diseases of the genitourinary system
172,173,,173,N70-N77 Inflammatory diseases of female pelvic organs,Chapter XIV Diseases of the genitourinary system
173,174,,174,N80-N98 Noninflammatory disorders of female genital tract,Chapter XIV Diseases of the genitourinary system
174,175,,175,N99-N99 Other disorders of the genitourinary system,Chapter XIV Diseases of the genitourinary system
175,176,,176,O00-O08 Pregnancy with abortive outcome,"Chapter XV Pregnancy, childbirth and the puerperium"
176,177,,177,"O10-O16 Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium","Chapter XV Pregnancy, childbirth and the puerperium"
177,178,,178,O20-O29 Other maternal disorders predominantly related to pregnancy,"Chapter XV Pregnancy, childbirth and the puerperium"
178,179,,179,O30-O48 Maternal care related to the fetus and amniotic cavity and possible delivery problems,"Chapter XV Pregnancy, childbirth and the puerperium"
179,180,,180,O60-O75 Complications of labour and delivery,"Chapter XV Pregnancy, childbirth and the puerperium"
180,181,,181,O80-O84 Delivery,"Chapter XV Pregnancy, childbirth and the puerperium"
181,182,,182,O85-O92 Complications predominantly related to the puerperium,"Chapter XV Pregnancy, childbirth and the puerperium"
182,183,,183,"O94-O99 Other obstetric conditions, not elsewhere classified","Chapter XV Pregnancy, childbirth and the puerperium"
183,184,,184,"P00-P04 Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery",Chapter XVI Certain conditions originating in the perinatal period
184,185,,185,P05-P08 Disorders related to length of gestation and fetal growth,Chapter XVI Certain conditions originating in the perinatal period
185,186,,186,P10-P15 Birth trauma,Chapter XVI Certain conditions originating in the perinatal period
186,187,,187,P20-P29 Respiratory and cardiovascular disorders specific to the perinatal period,Chapter XVI Certain conditions originating in the perinatal period
187,188,,188,P35-P39 Infections specific to the perinatal period,Chapter XVI Certain conditions originating in the perinatal period
188,189,,189,P50-P61 Haemorrhagic and haematological disorders of fetus and newborn,Chapter XVI Certain conditions originating in the perinatal period
189,190,,190,P70-P74 Transitory endocrine and metabolic disorders specific to fetus and newborn,Chapter XVI Certain conditions originating in the perinatal period
190,191,,191,P75-P78 Digestive system disorders of fetus and newborn,Chapter XVI Certain conditions originating in the perinatal period
191,192,,192,P80-P83 Conditions involving the integument and temperature regulation of fetus and newborn,Chapter XVI Certain conditions originating in the perinatal period
192,193,,193,P90-P96 Other disorders originating in the perinatal period,Chapter XVI Certain conditions originating in the perinatal period
193,194,,194,Q00-Q07 Congenital malformations of the nervous system,"Chapter XVII Congenital malformations, deformations and chromosomal abnormalities"
194,195,,195,"Q10-Q18 Congenital malformations of eye, ear, face and neck","Chapter XVII Congenital malformations, deformations and chromosomal abnormalities"
195,196,,196,Q20-Q28 Congenital malformations of the circulatory system,"Chapter XVII Congenital malformations, deformations and chromosomal abnormalities"
196,197,,197,Q30-Q34 Congenital malformations of the respiratory system,"Chapter XVII Congenital malformations, deformations and chromosomal abnormalities"
197,198,,198,Q35-Q37 Cleft lip and cleft palate,"Chapter XVII Congenital malformations, deformations and chromosomal abnormalities"
198,199,,199,Q38-Q45 Other congenital malformations of the digestive system,"Chapter XVII Congenital malformations, deformations and chromosomal abnormalities"
199,200,,200,Q50-Q56 Congenital malformations of genital organs,"Chapter XVII Congenital malformations, deformations and chromosomal abnormalities"
200,201,,201,Q60-Q64 Congenital malformations of the urinary system,"Chapter XVII Congenital malformations, deformations and chromosomal abnormalities"
201,202,,202,Q65-Q79 Congenital malformations and deformations of the musculoskeletal system,"Chapter XVII Congenital malformations, deformations and chromosomal abnormalities"
202,203,,203,Q80-Q89 Other congenital malformations,"Chapter XVII Congenital malformations, deformations and chromosomal abnormalities"
203,204,,204,"Q90-Q99 Chromosomal abnormalities, not elsewhere classified","Chapter XVII Congenital malformations, deformations and chromosomal abnormalities"
204,205,,205,R00-R09 Symptoms and signs involving the circulatory and respiratory systems,"Chapter XVIII Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
205,206,,206,R10-R19 Symptoms and signs involving the digestive system and abdomen,"Chapter XVIII Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
206,207,,207,R20-R23 Symptoms and signs involving the skin and subcutaneous tissue,"Chapter XVIII Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
207,208,,208,R25-R29 Symptoms and signs involving the nervous and musculoskeletal systems,"Chapter XVIII Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
208,209,,209,R30-R39 Symptoms and signs involving the urinary system,"Chapter XVIII Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
209,210,,210,"R40-R46 Symptoms and signs involving cognition, perception, emotional state and behaviour","Chapter XVIII Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
210,211,,211,R47-R49 Symptoms and signs involving speech and voice,"Chapter XVIII Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
211,212,,212,R50-R69 General symptoms and signs,"Chapter XVIII Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
212,213,,213,"R70-R79 Abnormal findings on examination of blood, without diagnosis","Chapter XVIII Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
213,214,,214,"R80-R82 Abnormal findings on examination of urine, without diagnosis","Chapter XVIII Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
214,215,,215,"R83-R89 Abnormal findings on examination of other body fluids, substances and tissues, without diagnosis","Chapter XVIII Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
215,216,,216,"R90-R94 Abnormal findings on diagnostic imaging and in function studies, without diagnosis","Chapter XVIII Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
216,217,,217,R95-R99 Ill-defined and unknown causes of mortality,"Chapter XVIII Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
217,218,,218,S00-S09 Injuries to the head,"Chapter XIX Injury, poisoning and certain other consequences of external causes"
218,219,,219,S10-S19 Injuries to the neck,"Chapter XIX Injury, poisoning and certain other consequences of external causes"
219,220,,220,S20-S29 Injuries to the thorax,"Chapter XIX Injury, poisoning and certain other consequences of external causes"
220,221,,221,"S30-S39 Injuries to the abdomen, lower back, lumbar spine and pelvis","Chapter XIX Injury, poisoning and certain other consequences of external causes"
221,222,,222,S40-S49 Injuries to the shoulder and upper arm,"Chapter XIX Injury, poisoning and certain other consequences of external causes"
222,223,,223,S50-S59 Injuries to the elbow and forearm,"Chapter XIX Injury, poisoning and certain other consequences of external causes"
223,224,,224,S60-S69 Injuries to the wrist and hand,"Chapter XIX Injury, poisoning and certain other consequences of external causes"
224,225,,225,S70-S79 Injuries to the hip and thigh,"Chapter XIX Injury, poisoning and certain other consequences of external causes"
225,226,,226,S80-S89 Injuries to the knee and lower leg,"Chapter XIX Injury, poisoning and certain other consequences of external causes"
226,227,,227,S90-S99 Injuries to the ankle and foot,"Chapter XIX Injury, poisoning and certain other consequences of external causes"
227,228,,228,T00-T07 Injuries involving multiple body regions,"Chapter XIX Injury, poisoning and certain other consequences of external causes"
228,229,,229,"T08-T14 Injuries to unspecified part of trunk, limb or body region","Chapter XIX Injury, poisoning and certain other consequences of external causes"
229,230,,230,T15-T19 Effects of foreign body entering through natural orifice,"Chapter XIX Injury, poisoning and certain other consequences of external causes"
230,231,,231,"T20-T25 Burns and corrosions of external body surface, specified by site","Chapter XIX Injury, poisoning and certain other consequences of external causes"
231,232,,232,T26-T28 Burns and corrosions confined to eye and internal organs,"Chapter XIX Injury, poisoning and certain other consequences of external causes"
232,233,,233,T29-T32 Burns and corrosions of multiple and unspecified body regions,"Chapter XIX Injury, poisoning and certain other consequences of external causes"
233,234,,234,T33-T35 Frostbite,"Chapter XIX Injury, poisoning and certain other consequences of external causes"
234,235,,235,"T36-T50 Poisoning by drugs, medicaments and biological substances","Chapter XIX Injury, poisoning and certain other consequences of external causes"
235,236,,236,T51-T65 Toxic effects of substances chiefly nonmedicinal as to source,"Chapter XIX Injury, poisoning and certain other consequences of external causes"
236,237,,237,T66-T78 Other and unspecified effects of external causes,"Chapter XIX Injury, poisoning and certain other consequences of external causes"
237,238,,238,T79-T79 Certain early complications of trauma,"Chapter XIX Injury, poisoning and certain other consequences of external causes"
238,239,,239,"T80-T88 Complications of surgical and medical care, not elsewhere classified","Chapter XIX Injury, poisoning and certain other consequences of external causes"
239,240,,240,"T90-T98 Sequelae of injuries, of poisoning and of other consequences of external causes","Chapter XIX Injury, poisoning and certain other consequences of external causes"
240,241,,241,V01-V09 Pedestrian injured in transport accident,Chapter XX External causes of morbidity and mortality
241,242,,242,V10-V19 Pedal cyclist injured in transport accident,Chapter XX External causes of morbidity and mortality
242,243,,243,V20-V29 Motorcycle rider injured in transport accident,Chapter XX External causes of morbidity and mortality
243,244,,244,V30-V39 Occupant of three-wheeled motor vehicle injured in transport accident,Chapter XX External causes of morbidity and mortality
244,245,,245,V40-V49 Car occupant injured in transport accident,Chapter XX External causes of morbidity and mortality
245,246,,246,V50-V59 Occupant of pick-up truck or van injured in transport accident,Chapter XX External causes of morbidity and mortality
246,247,,247,V60-V69 Occupant of heavy transport vehicle injured in transport accident,Chapter XX External causes of morbidity and mortality
247,248,,248,V70-V79 Bus occupant injured in transport accident,Chapter XX External causes of morbidity and mortality
248,249,,249,V80-V89 Other land transport accidents,Chapter XX External causes of morbidity and mortality
249,250,,250,V90-V94 Water transport accidents,Chapter XX External causes of morbidity and mortality
250,251,,251,V95-V97 Air and space transport accidents,Chapter XX External causes of morbidity and mortality
251,252,,252,V98-V99 Other and unspecified transport accidents,Chapter XX External causes of morbidity and mortality
252,253,,253,W00-W19 Falls,Chapter XX External causes of morbidity and mortality
253,254,,254,W20-W49 Exposure to inanimate mechanical forces,Chapter XX External causes of morbidity and mortality
254,255,,255,W50-W64 Exposure to animate mechanical forces,Chapter XX External causes of morbidity and mortality
255,256,,256,W65-W74 Accidental drowning and submersion,Chapter XX External causes of morbidity and mortality
256,257,,257,W75-W84 Other accidental threats to breathing,Chapter XX External causes of morbidity and mortality
257,258,,258,"W85-W99 Exposure to electric current, radiation and extreme ambient air temperature and pressure",Chapter XX External causes of morbidity and mortality
258,259,,259,"X00-X09 Exposure to smoke, fire and flames",Chapter XX External causes of morbidity and mortality
259,260,,260,X10-X19 Contact with heat and hot substances,Chapter XX External causes of morbidity and mortality
260,261,,261,X20-X29 Contact with venomous animals and plants,Chapter XX External causes of morbidity and mortality
261,262,,262,X30-X39 Exposure to forces of nature,Chapter XX External causes of morbidity and mortality
262,263,,263,X40-X49 Accidental poisoning by and exposure to noxious substances,Chapter XX External causes of morbidity and mortality
263,264,,264,"X50-X57 Overexertion, travel and privation",Chapter XX External causes of morbidity and mortality
264,265,,265,X58-X59 Accidental exposure to other and unspecified factors,Chapter XX External causes of morbidity and mortality
265,266,,266,X60-X84 Intentional self-harm,Chapter XX External causes of morbidity and mortality
266,267,,267,X85-X99 Assault,Chapter XX External causes of morbidity and mortality
267,268,,268,Y00-Y09 Assault,Chapter XX External causes of morbidity and mortality
268,269,,269,Y10-Y34 Event of undetermined intent,Chapter XX External causes of morbidity and mortality
269,270,,270,Y35-Y36 Legal intervention and operations of war,Chapter XX External causes of morbidity and mortality
